H1,H2,DD1,UD1,user_id
73,67,227,154,35
49,68,197,148,35
48,73,250,202,35
76,57,227,151,35
70,48,241,171,35
40,39,234,194,35
69,48,250,181,35
90,67,308,218,35
74,74,385,311,35
85,80,203,118,35
60,47,218,158,35
73,68,249,176,35
73,39,291,218,35
59,59,316,257,35
92,82,317,225,35
92,80,242,150,35
56,40,241,185,35
88,28,252,164,35
59,59,151,92,36
44,47,182,138,36
54,55,140,86,36
32,29,160,128,36
47,62,144,97,36
89,39,174,85,36
61,47,1069,1008,36
71,53,176,105,36
36,56,149,113,36
33,72,143,110,36
65,38,178,113,36
57,46,154,97,36
100,66,184,84,36
57,67,167,110,36
74,49,167,93,36
76,59,167,91,36
43,58,145,102,36
49,83,143,94,36
40,83,116,76,36
50,74,160,110,36
74,82,270,196,37
77,82,334,257,37
81,82,252,171,37
91,92,253,162,37
56,74,120,64,37
55,89,164,109,37
55,71,208,153,37
66,84,291,225,37
88,82,263,175,37
59,84,264,205,37
109,102,252,143,37
65,93,282,217,37
68,81,336,268,37
47,61,304,257,37
101,72,250,149,37
91,93,305,214,37
66,98,291,225,37
67,93,260,193,37
89,79,232,143,37
105,82,252,147,37
47,65,536,489,38
55,57,399,344,38
75,64,212,137,38
88,90,199,111,38
61,87,200,139,38
62,81,201,139,38
73,97,227,154,38
61,30,241,180,38
48,81,260,212,38
77,97,190,113,38
96,81,258,162,38
65,66,303,238,38
81,103,289,208,38
34,62,307,273,38
90,96,263,173,38
81,87,254,173,38
72,78,220,148,38
80,64,243,163,38
81,89,235,154,38
79,95,285,206,38
69,47,473,404,39
60,72,319,259,39
69,56,260,191,39
62,72,270,208,39
59,54,456,397,39
59,64,357,298,39
57,72,183,126,39
60,64,236,176,39
65,71,182,117,39
57,72,198,141,39
64,72,290,226,39
72,72,190,118,39
39,64,198,159,39
51,74,399,348,39
77,89,219,142,39
56,80,232,176,39
59,80,203,144,39
50,63,168,118,39
68,80,178,110,39
76,80,211,135,39
60,92,723,663,40
78,95,690,612,40
83,86,665,582,40
84,91,581,497,40
89,71,731,642,40
113,111,573,460,40
99,87,659,560,40
109,82,479,370,40
69,92,558,489,40
106,74,578,472,40
57,99,477,420,40
97,86,845,748,40
89,83,466,377,40
75,99,538,463,40
87,109,557,470,40
87,92,490,403,40
97,100,518,421,40
83,109,615,532,40
66,101,536,470,40
69,78,493,424,40
75,82,1443,1368,41
82,82,317,235,41
81,46,235,154,41
64,64,99,35,41
79,87,90,11,41
78,145,200,122,41
94,43,285,191,41
95,62,216,121,41
95,78,183,88,41
78,95,166,88,41
78,94,167,89,41
78,78,266,188,41
95,95,333,238,41
79,78,200,121,41
95,46,316,221,41
112,79,266,154,41
78,95,149,71,41
95,78,216,121,41
129,78,234,105,41
95,95,199,104,41
53,59,189,136,42
76,62,144,68,42
79,60,138,59,42
70,61,145,75,42
60,68,129,69,42
68,62,136,68,42
78,69,179,101,42
61,68,172,111,42
59,54,126,67,42
67,52,153,86,42
68,53,161,93,42
69,62,145,76,42
61,61,153,92,42
70,60,138,68,42
73,62,153,80,42
69,70,178,109,42
74,59,193,119,42
77,70,203,126,42
67,68,295,228,42
61,59,498,437,42
132,64,209,77,43
65,97,184,119,43
87,87,184,97,43
58,63,144,86,43
73,59,165,92,43
80,113,183,103,43
80,56,216,136,43
70,82,140,70,43
71,81,139,68,43
94,85,227,133,43
74,99,201,127,43
72,95,252,180,43
74,104,229,155,43
106,95,411,305,43
91,114,211,120,43
72,70,226,154,43
80,77,171,91,43
90,98,202,112,43
65,97,151,86,43
80,107,157,77,43
63,68,712,649,44
85,18,407,322,44
68,45,239,171,44
85,69,508,423,44
77,53,274,197,44
69,70,266,197,44
44,68,333,289,44
53,80,239,186,44
77,78,240,163,44
63,78,208,145,44
62,95,215,153,44
52,65,236,184,44
68,43,282,214,44
53,69,208,155,44
58,69,279,221,44
51,52,290,239,44
76,70,215,139,44
52,78,366,314,44
51,62,198,147,44
68,69,208,140,44
71,94,409,338,45
79,88,1278,1199,45
76,106,304,228,45
102,111,434,332,45
100,93,416,316,45
86,96,374,288,45
92,98,397,305,45
89,89,382,293,45
79,103,385,306,45
90,106,150,60,45
68,82,166,98,45
87,73,180,93,45
93,95,151,58,45
81,69,268,187,45
99,87,244,145,45
95,83,178,83,45
86,72,202,116,45
61,94,175,114,45
73,90,338,265,45
71,90,137,66,45
63,80,200,137,46
88,77,235,147,46
56,66,181,125,46
74,81,217,143,46
65,64,236,171,46
113,56,250,137,46
72,71,226,154,46
65,64,175,110,46
73,91,217,144,46
67,74,283,216,46
64,74,216,152,46
81,63,226,145,46
64,82,190,126,46
75,83,209,134,46
83,74,217,134,46
65,64,193,128,46
65,53,468,403,46
83,73,233,150,46
74,81,242,168,46
